Trials
trial_id, time, epochs, score, loss, val_loss, learning_rate, batch_size, dropout_1, dropout_2, layer_1, layer_2, layer_3, test_overall_acc, test_true_positives, test_true_negatives, test_false_positives, test_false_negatives, test_thresh, val_overall_acc, val_true_positives, val_true_negatives, val_false_positives, val_false_negatives, val_thresh
0, 686, 10, 0.039813, 0.041387, 0.039813, 0.004427, 64, 0.368585, 0.325898, 224, 128, 64, 0.915698, 71689, 2746771, 172088, 87388, 0.133779, 0.915653, 14387, 549278, 34495, 17428, 0.133779
1, 389, 10, 0.038682, 0.040522, 0.038682, 0.003900, 128, 0.418333, 0.456415, 224, 128, 64, 0.934310, 69374, 2806371, 112488, 89703, 0.156361, 0.934438, 14000, 561229, 22544, 17815, 0.155887
2, 302, 10, 0.037851, 0.037961, 0.037851, 0.003443, 256, 0.487909, 0.144331, 224, 128, 64, 0.949716, 72514, 2850650, 68209, 86563, 0.163554, 0.948833, 14683, 569407, 14366, 17132, 0.159910
3, 305, 10, 0.030824, 0.032903, 0.030824, 0.000358, 256, 0.206331, 0.242223, 224, 128, 64, 0.955731, 97329, 2844349, 74510, 61748, 0.222046, 0.955889, 19472, 568962, 14811, 12343, 0.221595
4, 387, 10, 0.040442, 0.041546, 0.040442, 0.008726, 128, 0.187318, 0.291916, 224, 128, 64, 0.929369, 71144, 2789393, 129466, 87933, 0.159611, 0.927994, 14101, 557161, 26612, 17714, 0.157555
5, 1007, 10, 0.040636, 0.042921, 0.040636, 0.004311, 32, 0.344185, 0.263950, 224, 128, 64, 0.900984, 65807, 2707364, 211495, 93270, 0.127125, 0.901056, 13176, 541503, 42270, 18639, 0.127125
6, 402, 10, 0.034721, 0.036133, 0.034721, 0.004700, 128, 0.166757, 0.052654, 224, 128, 64, 0.944635, 86777, 2820750, 98109, 72300, 0.205323, 0.945457, 17273, 564739, 19034, 14542, 0.208952
7, 1117, 10, 0.028785, 0.030063, 0.028785, 0.000292, 32, 0.129493, 0.041067, 224, 128, 64, 0.960349, 96966, 2858928, 59931, 62111, 0.291591, 0.959837, 19277, 571587, 12186, 12538, 0.291015
8, 341, 10, 0.035646, 0.037570, 0.035646, 0.002335, 256, 0.221877, 0.454251, 224, 128, 64, 0.922612, 96961, 2742780, 176079, 62116, 0.167588, 0.923519, 19414, 549093, 34680, 12401, 0.168424
9, 1133, 10, 0.035293, 0.037313, 0.035293, 0.005705, 32, 0.046130, 0.104711, 224, 128, 64, 0.939323, 81206, 2809970, 108889, 77871, 0.219173, 0.939232, 16279, 561901, 21872, 15536, 0.218141
10, 1122, 10, 0.030302, 0.032623, 0.030302, 0.000360, 32, 0.255310, 0.146762, 224, 128, 64, 0.959215, 86744, 2865657, 53202, 72333, 0.248616, 0.959393, 17415, 573176, 10597, 14400, 0.248749
11, 333, 10, 0.036447, 0.038609, 0.036447, 0.003263, 256, 0.472874, 0.375116, 224, 128, 64, 0.941873, 78732, 2820293, 98566, 80345, 0.139302, 0.942359, 15584, 564521, 19252, 16231, 0.140562
12, 340, 10, 0.037352, 0.039650, 0.037352, 0.007371, 256, 0.188121, 0.352663, 224, 128, 64, 0.941301, 70767, 2826496, 92363, 88310, 0.185973, 0.940447, 14246, 564682, 19091, 17569, 0.183938
13, 338, 10, 0.038997, 0.041787, 0.038997, 0.009717, 256, 0.355115, 0.229613, 224, 128, 64, 0.908056, 90043, 2704895, 213964, 69034, 0.122817, 0.908322, 18025, 541127, 42646, 13790, 0.122817
